,工作名称,公司名称,公司规模,公司性质,月薪,工作经验,招聘人数,最低学历,工作性质,五险一金,带薪休假,员工旅游,周末双休,弹性工作,餐补,交通补助,年底双薪,股票期权
0,销售总监经理,北京安信卓越信息咨询有限公司 ,1000-9999人,民营,12500.5,3-5年,3,本科,全职,True,False,True,True,True,False,False,False,False
1,招商经理,北京易贝乐科技文化股份有限公司 ,100-499人,合资,17500.5,不限,1,不限,全职,True,False,False,False,True,True,False,False,False
2,客户经理,平安普惠信息服务有限公司北京丰台北路分公司 ,10000人以上,上市公司,25000.5,不限,2,大专,全职,False,False,False,False,True,False,False,False,False
3,高级客户经理,北京恒远鑫达信息咨询有限公司第三分公司 ,1000-9999人,民营,7000.5,不限,10,不限,全职,True,False,False,True,False,False,False,False,False
4,客户经理,北京安信卓越信息咨询有限公司 ,1000-9999人,民营,12500.5,1-3年,1,大专,全职,True,False,True,True,True,False,False,False,False
5,商务经理,北京世玩互娱信息技术有限公司 ,20-99人,外商独资,12000.0,1-3年,10,本科,全职,True,False,False,True,False,True,False,False,False
6,客户经理,北京华信博达管理顾问有限公司 ,100-499人,民营,6000.0,1-3年,10,本科,全职,False,False,False,False,False,False,False,False,False
7,客户经理,北京瑞科润业信息科技有限公司 ,100-499人,民营,7000.5,3-5年,10,本科,全职,True,False,False,False,True,False,False,False,False
8,客户经理,北京民生智库科技信息咨询有限公司 ,20-99人,民营,7000.0,1-3年,3,大专,全职,True,False,True,False,False,False,False,False,False
9,客户经理,范德金智(北京)国际管理咨询有限公司 ,100-499人,股份制企业,10000.0,1-3年,2,大专,全职,True,False,False,True,False,False,False,False,False
10,客户经理,北京瑞动信息咨询中心(有限合伙) ,20-99人,合资,17500.5,3-5年,10,大专,全职,True,False,False,True,False,False,False,False,False
11,大客户经理,北京中嘉和信通信技术有限公司 ,20-99人,民营,9500.0,1-3年,5,大专,全职,True,False,False,True,False,True,False,False,False
12,客户经理,星光物语(北京)电子商务有限公司 ,100-499人,民营,7500.0,1-3年,1,大专,全职,True,False,False,False,True,True,True,False,False
13,中国人寿优才计划客户经理10-20万保底年薪,中国人寿保险股份有限公司北京市分公司朝阳金台北街营销服务部 ,10000人以上,上市公司,25000.5,不限,5,大专,全职,False,False,True,True,True,False,False,False,False
14,客户经理,北京千山茶仓信息科技有限公司 ,20-99人,民营,10000.0,3-5年,1,本科,全职,True,False,True,False,False,False,False,False,False
15,销售经理,心怡科技股份有限公司 ,10000人以上,民营,11500.0,不限,1,大专,全职,True,False,False,True,False,False,False,False,False
16,客户经理（AM）,北京中海智胜体育发展有限公司 ,20-99人,民营,9000.0,3-5年,4,大专,全职,True,False,True,False,True,True,False,True,False
